Customer Id,CusSegment Id,Customer Name
BD-11635,1,Brian Derr
BD-11725,1,Bruce Degenhardt
BD-11770,1,Bryan Davis
BE-11335,3,Bill Eplett
BE-11410,1,Bobby Elias
BE-11455,3,Brad Eason
BF-10975,2,Barbara Fisher
BF-11005,3,Barry Franz
BF-11020,2,Barry Französisch
BF-11080,1,Bart Folk
BF-11170,3,Ben Ferrer
BF-11215,3,Benjamin Farhat
BF-11275,2,Beth Fritzler
BG-11035,1,Barry Gonzalez
BG-11695,2,Brooke Gillingham
BG-11740,1,Bruce Geld
BH-11710,1,Brosina Hoffman
BK-11260,1,Berenike Kampe
BM-11140,1,Becky Martin
BM-11575,2,Brendan Murry
BM-11650,2,Brian Moss
BM-11785,1,Bryan Mills
BN-11470,2,Brad Norvell
BN-11515,1,Bradley Nguyen
BO-11350,2,Bill Overfelt
BO-11425,1,Bobby Odegard
BP-11050,2,Barry Pond
BP-11095,2,Bart Pistole
BP-11155,1,Becky Pak
BP-11185,2,Ben Peterman
BP-11230,1,Benjamin Patterson
BP-11290,1,Beth Paige
BS-11365,2,Bill Shonely
BS-11380,2,Bill Stewart
BS-11590,2,Brendan Sweed
BS-11665,1,Brian Stugart
BS-11755,1,Bruce Stewart
BS-11800,3,Bryan Spruell
BT-11305,3,Beth Thompson
BT-11395,2,Bill Tyler
BT-11440,1,Bobby Trafton
BT-11485,3,Brad Thomas
BT-11530,3,Bradley Talbott
BT-11680,1,Brian Thompson
BV-11245,2,Benjamin Venier
BW-11065,1,Barry Weirich
BW-11110,2,Bart Watters
BW-11200,1,Ben Wallace
CA-11965,2,Carol Adams
CA-12055,3,Cathy Armstrong
CA-12265,1,Christina Anderson
CA-12310,2,Christine Abelman
CA-12775,1,Cynthia Arntzen
CB-12025,1,Cassandra Brandow
CB-12415,1,Christy Brittain
CB-12535,2,Claudia Bergmann
CC-12100,3,Chad Cunningham
CC-12145,1,Charles Crestani
CC-12220,1,Chris Cortes
CC-12370,1,Christopher Conant
CC-12430,3,Chuck Clark
CC-12475,1,Cindy Chapman
CC-12550,1,Clay Cheatham
CC-12610,2,Corey Catlett
CC-12670,1,Craig Carreira
CC-12685,1,Craig Carroll
CD-11920,1,Carlos Daly
CD-11980,1,Carol Darley
CD-12280,1,Christina DeMoss
CD-12790,3,Cynthia Delaney
CG-12040,3,Catherine Glotzbach
CG-12520,1,Claire Gute
CH-12070,3,Cathy Hwang
CJ-11875,2,Carl Jackson
CJ-12010,1,Caroline Jumper
CK-12205,1,Chloris Kastensmidt
CK-12325,3,Christine Kargatis
CK-12595,1,Clytie Kelty
CK-12760,2,Cyma Kinney
CL-11890,1,Carl Ludwig
CL-12565,1,Clay Ludtke
CL-12700,3,Craig Leslie
CM-11815,2,Candace McMahon
CM-11935,1,Carlos Meador
CM-12115,1,Chad McGuire
CM-12160,1,Charles McCrossin
CM-12190,1,Charlotte Melton
CM-12235,1,Chris McAfee
CM-12385,1,Christopher Martinez
CM-12445,1,Chuck Magee
CM-12655,3,Corinna Mitchell
CM-12715,2,Craig Molinari
Co-12640,1,Corey-Lock
CP-12085,2,Cathy Prescott
CP-12340,2,Christine Phan
CR-12580,3,Clay Rozendal
CR-12625,3,Corey Roper
CR-12730,1,Craig Reiter
CR-12820,3,Cyra Reiten
CS-11845,2,Cari Sayre
CS-11860,1,Cari Schnelling
CS-11950,1,Carlos Soltero
CS-12130,1,Chad Sievert
CS-12175,2,Charles Sheldon
CS-12250,2,Chris Selesnick
CS-12355,1,Christine Sundaresam
CS-12400,3,Christopher Schild
CS-12460,1,Chuck Sachs
CS-12490,2,Cindy Schnelling
CS-12505,1,Cindy Stewart
CT-11995,1,Carol Triggs
CV-12295,1,Christina VanderZanden
CV-12805,2,Cynthia Voltz
CW-11905,3,Carl Weiss
CY-12745,2,Craig Yedwab
DA-13450,3,Dianna Arnett
DB-12910,3,Daniel Byrd
DB-12970,2,Darren Budd
DB-13060,1,Dave Brooks
DB-13120,2,David Bremer
DB-13210,1,Dean Braden
DB-13270,3,Deborah Brumfield
DB-13360,3,Dennis Bolton
DB-13405,1,Denny Blanton
DB-13555,2,Dorothy Badders
DB-13615,1,Doug Bickford
DB-13660,1,Duane Benoit
DC-12850,1,Dan Campbell
DC-13285,1,Debra Catini
DD-13570,1,Dorothy Dickinson
DE-13255,3,Deanra Eno
DF-13135,1,David Flashing
DG-13300,2,Deirdre Greer
DH-13075,2,Dave Hallsten
DH-13675,3,Duane Huffman
DJ-13420,2,Denny Joy
DJ-13510,2,Don Jones
DJ-13630,1,Doug Jacobs
DK-12835,2,Damala Kotsonis
DK-12895,1,Dana Kaydos
DK-12985,1,Darren Koutras
DK-13090,1,Dave Kipp
DK-13150,2,David Kendrick
DK-13225,2,Dean Katz
DK-13375,1,Dennis Kane
DL-12865,1,Dan Lawera
DL-12925,1,Daniel Lacy
DL-13315,1,Delfina Latchford
DL-13330,1,Denise Leinenbach
DL-13495,2,Dionis Lloyd
Dl-13600,2,Dorris liebe
DM-12955,2,Dario Medina
DM-13015,1,Darrin Martin
DM-13345,2,Denise Monton
DM-13525,2,Don Miller
DN-13690,1,Duane Noonan
DO-13435,1,Denny Ordway
DO-13645,1,Doug O'Connell
DP-13000,1,Darren Powers
DP-13105,2,Dave Poirier
DP-13165,1,David Philippe
Dp-13240,3,Dean percer
DP-13390,3,Dennis Pardue
DR-12880,2,Dan Reichenbach
DR-12940,3,Daniel Raglin
DS-13030,3,Darrin Sayre
DS-13180,2,David Smith
DV-13045,2,Darrin Van Huff
DV-13465,1,Dianna Vittorini
DW-13195,2,David Wiener
DW-13480,3,Dianna Wilson
DW-13540,1,Don Weiss
DW-13585,2,Dorothy Wardle
EA-14035,2,Erin Ashbrook
EB-13705,2,Ed Braxton
EB-13750,2,Edward Becker
EB-13840,2,Ellis Ballard
EB-13870,1,Emily Burns
EB-13930,1,Eric Barreto
EB-13975,2,Erica Bern
EB-14110,1,Eugene Barchas
EB-14170,1,Evan Bailliet
EC-14050,1,Erin Creighton
ED-13885,3,Emily Ducich
EG-13900,1,Emily Grady
EH-13765,2,Edward Hooks
EH-13945,1,Eric Hoffmann
EH-13990,1,Erica Hackney
EH-14005,3,Erica Hernandez
EH-14125,3,Eugene Hildebrand
EH-14185,1,Evan Henry
EJ-13720,1,Ed Jacobs
EJ-14155,1,Eva Jacobs
EK-13795,3,Eileen Kiefer
EL-13735,3,Ed Ludwig
EM-13810,2,Eleni McCrary
EM-13825,2,Elizabeth Moffitt
EM-13960,1,Eric Murdock
EM-14065,1,Erin Mull
EM-14095,2,Eudokia Martin
EM-14140,3,Eugene Moren
EM-14200,3,Evan Minnotte
EN-13780,1,Edward Nazzal
EP-13915,1,Emily Phan
ER-13855,2,Elpida Rittenbach
ES-14020,1,Erica Smith
ES-14080,2,Erin Smith
FA-14230,2,Frank Atkinson
FC-14245,3,Frank Carlisle
FC-14335,2,Fred Chung
FG-14260,3,Frank Gastineau
FH-14275,2,Frank Hawley
FH-14350,1,Fred Harton
FH-14365,2,Fred Hopkins
FM-14215,2,Filia McAdams
FM-14290,3,Frank Merwin
FM-14380,1,Fred McMath
FO-14305,1,Frank Olsen
FP-14320,1,Frank Preis
FW-14395,2,Fred Wasserman
GA-14515,1,George Ashbrook
GA-14725,1,Guy Armstrong
GB-14530,2,George Bell
GB-14575,1,Giulietta Baptist
GD-14590,2,Giulietta Dortch
GG-14650,2,Greg Guthrie
GH-14410,3,Gary Hansen
GH-14425,1,Gary Hwang
GH-14485,2,Gene Hale
GH-14665,1,Greg Hansen
GK-14620,2,Grace Kelly
GM-14440,1,Gary McGarr
GM-14455,3,Gary Mitchum
GM-14500,1,Gene McClure
GM-14680,1,Greg Matthias
GM-14695,2,Greg Maxwell
GP-14740,2,Guy Phonely
GR-14560,2,Georgia Rosenberg
GT-14635,2,Grant Thornton
GT-14710,1,Greg Tran
GT-14755,1,Guy Thornton
GW-14605,1,Giulietta Weimer
GZ-14470,1,Gary Zandusky
GZ-14545,2,George Zrebassa
HA-14905,1,Helen Abelman
HA-14920,1,Helen Andreada
HD-14785,3,Harold Dahlen
HE-14800,2,Harold Engle
HF-14995,1,Herbert Flentye
HG-14845,1,Harry Greene
HG-14965,2,Henry Goldwyn
HG-15025,1,Hunter Glantz
HH-15010,2,Hilary Holden
HJ-14875,3,Heather Jas
HK-14890,2,Heather Kirkland
HL-15040,1,Hunter Lopez
HM-14860,2,Harry Marie
HM-14980,1,Henry MacAllister
HP-14815,3,Harold Pawlan
HR-14770,3,Hallie Redmond
HR-14830,2,Harold Ryan
HW-14935,2,Helen Wasserman
HZ-14950,1,Henia Zydlo
IG-15085,1,Ivan Gibson
IL-15100,1,Ivan Liston
IM-15055,1,Ionia McGrath
IM-15070,1,Irene Maddox
JA-15970,1,Joseph Airdo
JB-15400,2,Jennifer Braxton
JB-15925,1,Joni Blumstein
JB-16000,1,Joy Bell-
JB-16045,3,Julia Barnett
JC-15340,1,Jasper Cacioppo
JC-15385,1,Jenna Caffey
JC-15775,1,John Castell
JC-16105,2,Julie Creighton
JD-15790,1,John Dryer
JD-15895,2,Jonathan Doherty
JD-16015,1,Joy Daniels
JD-16060,1,Julia Dunbar
JD-16150,2,Justin Deggeller
JE-15475,1,Jeremy Ellison
JE-15610,2,Jim Epp
JE-15715,1,Joe Elijah
JE-15745,1,Joel Eaton
JE-16165,2,Justin Ellison
JF-15190,1,Jamie Frazer
JF-15295,1,Jason Fortune-
JF-15355,1,Jay Fein
JF-15415,1,Jennifer Ferguson
JF-15490,1,Jeremy Farry
JF-15565,1,Jill Fjeld
JG-15115,1,Jack Garza
JG-15160,1,James Galang
JG-15310,2,Jason Gross
JG-15805,2,John Grady
JH-15430,1,Jennifer Halladay
JH-15820,1,John Huston
JH-15910,1,Jonathan Howell
JH-15985,1,Joseph Holt
JH-16180,1,Justin Hirsh
JJ-15445,1,Jennifer Jackson
JJ-15760,3,Joel Jenkins
JK-15205,1,Jamie Kunitz
JK-15325,2,Jason Klamczynski
JK-15370,1,Jay Kimmel
JK-15625,1,Jim Karlsson
JK-15640,3,Jim Kriz
JK-15730,1,Joe Kamberova
JK-16090,1,Juliana Krohn
JK-16120,3,Julie Kriz
JL-15130,1,Jack Lebron
JL-15175,3,James Lanier
JL-15235,1,Janet Lee
JL-15505,1,Jeremy Lonsdale
JL-15835,1,John Lee
JL-15850,1,John Lucas
JM-15250,1,Janet Martin
JM-15265,2,Janet Molinari
JM-15535,1,Jessica Myrick
JM-15580,1,Jill Matthias
JM-15655,2,Jim Mitchum
JM-15865,1,John Murray
JM-16195,1,Justin MacKendrick
JO-15145,2,Jack O'Briant
JO-15280,1,Jas O'Carroll
JO-15550,3,Jesus Ocampo
JP-15460,2,Jennifer Patt
JP-15520,1,Jeremy Pistek
JP-16135,3,Julie Prescott
JR-15670,1,Jim Radford
JR-15700,1,Jocasta Rupert
JR-16210,2,Justin Ritter
JS-15595,2,Jill Stevenson
JS-15685,2,Jim Sink
JS-15880,1,John Stevenson
JS-15940,3,Joni Sundaresam
JS-16030,1,Joy Smith
JW-15220,2,Jane Waco
JW-15955,1,Joni Wasserman
JW-16075,1,Julia West
KA-16525,1,Kelly Andreada
KB-16240,2,Karen Bern
KB-16315,1,Karl Braun
KB-16405,3,Katrina Bavinger
KB-16585,2,Ken Black
KB-16600,2,Ken Brennan
KC-16255,2,Karen Carlisle
KC-16540,1,Kelly Collister
KC-16675,2,Kimberly Carter
KD-16270,1,Karen Daniels
KD-16345,1,Katherine Ducich
KD-16495,2,Keith Dawkins
KD-16615,2,Ken Dana
KE-16420,2,Katrina Edelman
KF-16285,3,Karen Ferguson
KH-16330,2,Katharine Harms
KH-16360,1,Katherine Hughes
KH-16510,1,Keith Herrera
KH-16630,2,Ken Heidel
KH-16690,2,Kristen Hastings
KL-16555,2,Kelly Lampkin
KL-16645,1,Ken Lonsdale
KM-16225,2,Kalyca Meade
KM-16375,3,Katherine Murray
KM-16660,1,Khloe Miller
KM-16720,1,Kunst Miller
KN-16390,2,Katherine Nockton
KN-16450,2,Kean Nguyen
KN-16705,3,Kristina Nunn
KS-16300,2,Karen Seio
KT-16465,1,Kean Takahito
KT-16480,1,Kean Thornton
KW-16435,1,Katrina Willman
KW-16570,1,Kelly Williams
LA-16780,2,Laura Armstrong
LB-16735,1,Larry Blacks
LB-16795,3,Laurel Beltran
LC-16870,1,Lena Cacioppo
LC-16885,1,Lena Creighton
LC-16930,2,Linda Cazamias
LC-16960,3,Lindsay Castell
LC-17050,1,Liz Carlisle
LC-17140,1,Logan Currie
LD-16855,2,Lela Donovan
LD-17005,1,Lisa DeCherney
LE-16810,1,Laurel Elliston
LF-17185,1,Luke Foster
LH-16750,1,Larry Hughes
LH-16900,1,Lena Hernandez
LH-17020,1,Lisa Hazard
LH-17155,1,Logan Haushalter
LL-16840,1,Lauren Leatherbury
LM-17065,1,Liz MacKendrick
LO-17170,2,Lori Olson
LP-17080,1,Liz Pelletier
LP-17095,1,Liz Preis
LR-16915,1,Lena Radford
LR-17035,2,Lisa Ryan
LS-16945,2,Linda Southworth
LS-16975,3,Lindsay Shagiari
LS-17200,2,Luke Schmidt
LS-17230,1,Lycoris Saunders
LS-17245,1,Lynn Smith
LT-16765,1,Larry Tron
LT-17110,1,Liz Thompson
LW-16825,2,Laurel Workman
LW-16990,2,Lindsay Williams
LW-17125,1,Liz Willingham
LW-17215,1,Luke Weiss
MA-17560,3,Matt Abelman
MA-17995,3,Michelle Arnett
MB-17305,1,Maria Bertelson
MB-18085,1,Mick Brown
MC-17275,1,Marc Crier
MC-17425,2,Mark Cousins
MC-17575,1,Matt Collins
MC-17590,2,Matt Collister
MC-17605,2,Matt Connell
MC-17635,2,Matthew Clasen
MC-17845,1,Michael Chen
MC-18100,1,Mick Crebagga
MC-18130,2,Mike Caudle
MD-17350,1,Maribeth Dona
MD-17860,2,Michael Dominguez
ME-17320,3,Maria Etezadi
ME-17725,1,Max Engle
ME-18010,2,Michelle Ellison
MF-17665,2,Maureen Fritzler
MF-18250,2,Monica Federle
MG-17650,3,Matthew Grinstein
MG-17680,3,Maureen Gastineau
MG-17695,1,Maureen Gnade
MG-17875,3,Michael Grace
MG-17890,3,Michael Granlund
MG-18145,1,Mike Gockenbach
MG-18205,2,Mitch Gastineau
MH-17290,3,Marc Harrigan
MH-17440,2,Mark Haberlin
MH-17455,1,Mark Hamilton
MH-17620,2,Matt Hagelstein
MH-17785,2,Maya Herman
MH-18025,1,Michelle Huthwaite
MH-18115,3,Mick Hernandez
MJ-17740,1,Max Jones
MK-17905,2,Michael Kennedy
MK-18160,1,Mike Kennedy
ML-17395,2,Marina Lichtenstein
ML-17410,1,Maris LaWare
ML-17755,3,Max Ludwig
ML-18040,2,Michelle Lonsdale
ML-18265,1,Muhammed Lee
MM-17260,1,Magdelene Morse
MM-17920,1,Michael Moore
MM-18055,1,Michelle Moray
MM-18280,2,Muhammed MacIntyre
MN-17935,1,Michael Nguyen
MO-17500,1,Mary O'Rourke
MO-17800,3,Meg O'Connel
MO-17950,1,Michael Oakman
MP-17470,3,Mark Packer
MP-17965,2,Michael Paige
MP-18175,3,Mike Pelletier
MR-17545,3,Mathew Reese
MS-17365,1,Maribeth Schnelling
MS-17530,1,MaryBeth Skach
MS-17710,1,Maurice Satty
MS-17770,1,Maxwell Schwartz
MS-17830,1,Melanie Seite
MS-17980,2,Michael Stewart
MT-17815,1,Meg Tillman
MT-18070,3,Michelle Tran
MV-17485,1,Mark Van Huff
MV-18190,1,Mike Vittorini
MW-18220,1,Mitch Webber
MW-18235,2,Mitch Willingham
MY-17380,2,Maribeth Yedwab
MY-18295,2,Muhammed Yedwab
MZ-17335,3,Maria Zettner
MZ-17515,2,Mary Zewe
NB-18580,2,Nicole Brennan
NB-18655,2,Nona Balk
NC-18340,1,Nat Carroll
NC-18415,1,Nathan Cano
NC-18535,2,Nick Crebassa
NC-18625,2,Noah Childs
ND-18370,1,Natalie DeCherney
ND-18460,2,Neil Ducich
NF-18385,1,Natalie Fritzler
NF-18475,3,Neil Französisch
NF-18595,3,Nicole Fjeld
NG-18355,2,Nat Gilpin
NG-18430,1,Nathan Gelder
NH-18610,2,Nicole Hansen
NK-18490,3,Neil Knudson
NL-18310,3,Nancy Lomonaco
NM-18445,3,Nathan Mautz
NM-18520,1,Neoma Murray
NP-18325,1,Naresj Patel
NP-18670,1,Nora Paige
NP-18685,3,Nora Pelletier
NP-18700,1,Nora Preis
NR-18550,1,Nick Radford
NS-18505,1,Neola Schneider
NS-18640,2,Noel Staavos
NW-18400,1,Natalie Webber
NZ-18565,3,Nick Zandusky
ON-18715,2,Odella Nelson
OT-18730,1,Olvera Toch
PA-19060,3,Pete Armstrong
PB-18805,3,Patrick Bzostek
PB-19105,1,Peter Bühler
PB-19150,1,Philip Brown
PB-19210,2,Phillip Breyer
PC-18745,2,Pamela Coakley
PC-19000,3,Pauline Chand
PF-19120,1,Peter Fuller
PF-19165,1,Philip Fox
PF-19225,1,Phillip Flathmann
PG-18820,1,Patrick Gardner
PG-18895,1,Paul Gonzalez
PH-18790,3,Patricia Hirasaki
PJ-18835,2,Patrick Jones
PJ-19015,1,Pauline Johnson
PK-18910,3,Paul Knutson
PK-19075,1,Pete Kriz
PL-18925,3,Paul Lucas
PM-18940,1,Paul MacIntyre
PM-19135,3,Peter McVee
PN-18775,3,Parhena Norris
PO-18850,1,Patrick O'Brill
PO-18865,1,Patrick O'Donnell
PO-19180,3,Philisse Overcash
PO-19195,3,Phillina Ober
PP-18955,3,Paul Prost
PR-18880,1,Patrick Ryan
PS-18760,1,Pamela Stobb
PS-18970,3,Paul Stevenson
PS-19045,3,Penelope Sewall
PT-19090,1,Pete Takahito
PV-18985,3,Paul Van Hugh
PW-19030,2,Pauline Webber
PW-19240,1,Pierre Wener
QJ-19255,2,Quincy Jones
RA-19285,1,Ralph Arnett
RA-19885,2,Ruben Ausman
RA-19915,1,Russell Applegate
RA-19945,1,Ryan Akin
RB-19330,1,Randy Bradley
RB-19360,1,Raymond Buch
RB-19435,1,Richard Bierner
RB-19465,3,Rick Bensley
RB-19570,1,Rob Beeghly
RB-19645,2,Robert Barroso
RB-19705,3,Roger Barcio
RB-19795,3,Ross Baird
RC-19825,1,Roy Collins
RC-19960,1,Ryan Crowe
RD-19480,1,Rick Duston
RD-19585,1,Rob Dowd
RD-19660,3,Robert Dilbeck
RD-19720,1,Roger Demir
RD-19810,3,Ross DeVincentis
RD-19900,1,Ruben Dartt
RD-19930,1,Russell D'Ascenzo
RE-19405,1,Ricardo Emerson
RE-19450,1,Richard Eichhorn
RF-19345,2,Randy Ferguson
RF-19735,1,Roland Fjeld
RF-19840,1,Roy Französisch
RH-19495,1,Rick Hansen
RH-19510,3,Rick Huthwaite
RH-19555,1,Ritsa Hightower
RH-19600,1,Rob Haberlin
RK-19300,1,Ralph Kennedy
RL-19615,1,Rob Lucas
RM-19375,1,Raymond Messe
RM-19675,3,Robert Marley
RM-19750,1,Roland Murray
RO-19780,1,Rose O'Brian
RP-19270,2,Rachel Payne
RP-19390,1,Resi Pölking
RP-19855,2,Roy Phan
RR-19315,1,Ralph Ritter
RR-19525,2,Rick Reed
RS-19420,2,Ricardo Sperren
RS-19765,2,Roland Schwarz
RS-19870,3,Roy Skaria
RW-19540,2,Rick Wilson
RW-19630,2,Rob Williams
RW-19690,1,Robert Waldorf
SA-20830,1,Sue Ann Reed
SB-20170,1,Sarah Bern
SB-20185,1,Sarah Brown
SB-20290,2,Sean Braxton
SC-20020,1,Sam Craven
SC-20050,3,Sample Company A
SC-20095,1,Sanjit Chand
SC-20230,2,Scot Coram
SC-20260,2,Scott Cohen
SC-20305,1,Sean Christensen
SC-20380,1,Shahid Collister
SC-20440,2,Shaun Chance
SC-20575,1,Sonia Cooley
SC-20680,3,Steve Carroll
SC-20695,2,Steve Chapman
SC-20725,1,Steven Cartwright
SC-20770,2,Stewart Carmichael
SC-20800,1,Stuart Calhoun
SC-20845,1,Sung Chung
SD-20485,3,Shirley Daniels
SE-20110,1,Sanjit Engle
SF-20065,1,Sandra Flanagan
SF-20200,1,Sarah Foster
SF-20965,2,Sylvia Foulston
SG-20080,1,Sandra Glassco
SG-20470,1,Sheri Gordon
SG-20605,1,Speros Goranitis
SG-20890,2,Susan Gilcrest
SH-19975,2,Sally Hughsby
SH-20395,1,Shahid Hopkins
SH-20635,2,Stefanie Holloman
SJ-20125,3,Sanjit Jacobs
SJ-20215,1,Sarah Jordon
SJ-20500,1,Shirley Jackson
SK-19990,1,Sally Knutson
SL-20155,3,Sara Luxemburg
SM-20005,1,Sally Matthias
SM-20320,3,Sean Miller
SM-20905,1,Susan MacKendrick
SM-20950,2,Suzanne McNair
SN-20560,3,Skye Norling
SN-20710,3,Steve Nguyen
SO-20335,1,Sean O'Donnell
SP-20545,2,Sibella Parks
SP-20620,2,Stefania Perrino
SP-20650,2,Stephanie Phelps
SP-20860,2,Sung Pak
SP-20920,1,Susan Pistek
SR-20425,3,Sharelle Roach
SR-20740,3,Steven Roelle
SS-20140,2,Saphhira Shifley
SS-20410,1,Shahid Shariari
SS-20515,3,Shirley Schmidt
SS-20590,1,Sonia Sunley
SS-20875,1,Sung Shariari
ST-20530,1,Shui Tom
SU-20665,3,Stephanie Ulpright
SV-20365,1,Seth Vernon
SV-20785,1,Stewart Visinsky
SV-20815,2,Stuart Van
SV-20935,1,Susan Vittorini
SW-20245,1,Scot Wooten
SW-20275,1,Scott Williamson
SW-20350,3,Sean Wendt
SW-20455,1,Shaun Weien
SW-20755,2,Steven Ward
SZ-20035,3,Sam Zeldin
TA-21385,3,Tom Ashbrook
TB-21055,1,Ted Butterfield
TB-21175,2,Thomas Boland
TB-21190,3,Thomas Brumley
TB-21250,1,Tim Brockman
TB-21280,1,Toby Braunhardt
TB-21355,2,Todd Boyes
TB-21400,1,Tom Boeckenhauer
TB-21520,1,Tracy Blumstein
TB-21595,1,Troy Blackwell
TB-21625,1,Trudy Brown
TC-20980,2,Tamara Chand
TC-21145,2,Theresa Coyne
TC-21295,1,Toby Carlisle
TC-21475,3,Tony Chapman
TC-21535,3,Tracy Collins
TD-20995,1,Tamara Dahlen
TG-21310,1,Toby Gnade
TG-21640,1,Trudy Glocke
TH-21100,1,Thea Hendricks
TH-21115,2,Thea Hudgings
TH-21235,2,Tiffany House
TH-21550,3,Tracy Hopkins
TM-21010,1,Tamara Manning
TM-21490,1,Tony Molinari
TN-21040,3,Tanja Norvell
TP-21130,1,Theone Pippenger
TP-21415,1,Tom Prescott
TP-21565,2,Tracy Poddar
TR-21325,1,Toby Ritter
TS-21085,1,Thais Sissman
TS-21160,2,Theresa Swint
TS-21205,2,Thomas Seio
TS-21340,1,Toby Swindell
TS-21370,2,Todd Sumrall
TS-21430,2,Tom Stivers
TS-21505,1,Tony Sayre
TS-21610,1,Troy Staebel
TS-21655,1,Trudy Schmidt
TT-21070,1,Ted Trevino
TT-21220,1,Thomas Thornton
TT-21265,2,Tim Taslimi
TT-21460,3,Tonja Turnell
TW-21025,3,Tamara Willingham
TZ-21580,1,Tracy Zic
VB-21745,2,Victoria Brennan
VD-21670,1,Valerie Dominguez
VF-21715,3,Vicky Freymann
VG-21790,1,Vivek Gonzalez
VG-21805,2,Vivek Grady
VM-21685,3,Valerie Mitchum
VM-21835,1,Vivian Mathis
VP-21730,3,Victor Preis
VP-21760,2,Victoria Pisteka
VS-21820,1,Vivek Sundaresam
VT-21700,3,Valerie Takahito
VW-21775,2,Victoria Wilson
WB-21850,1,William Brown
XP-21865,1,Xylona Preis
YC-21895,2,Yoseph Carroll
YS-21880,2,Yana Sorensen
ZC-21910,1,Zuschuss Carroll
ZD-21925,1,Zuschuss Donatelli
